UTC TIME SEC  ,CH2 VOLT DC  ,Converted UTC Time,Converted Local Time,Converted Amps,mA
1475537870.765,1.763303,2016-10-03 23:37:50.765,19:37:50.765,0.008110869365225,8.11086936522539
1475537872.063,1.812819,2016-10-03 23:37:52.063,19:37:52.063,0.008338633854646,8.33863385464581
1475537873.361,1.897928,2016-10-03 23:37:53.361,19:37:53.361,0.008730119595216,8.73011959521619
1475537874.658,1.953581,2016-10-03 23:37:54.658,19:37:54.658,0.008986113155474,8.98611315547378
1475537876.208,1.95087,2016-10-03 23:37:56.208,19:37:56.208,0.008973643054278,8.97364305427783
1475537877.568,1.961275,2016-10-03 23:37:57.568,19:37:57.568,0.009021504139834,9.02150413983441
1475537878.893,1.999671,2016-10-03 23:37:58.893,19:37:58.893,0.009198118675253,9.19811867525299
1475537880.191,2.033708,2016-10-03 23:38:00.191,19:38:00.191,0.009354682612695,9.35468261269549
1475537881.49,2.033855,2016-10-03 23:38:01.490,19:38:01.490,0.009355358785649,9.35535878564857
1475537882.79,2.034056,2016-10-03 23:38:02.790,19:38:02.790,0.009356283348666,9.35628334866605
1475537884.086,1.961934,2016-10-03 23:38:04.086,19:38:04.086,0.009024535418583,9.02453541858326
1475537885.653,1.850061,2016-10-03 23:38:05.653,19:38:05.653,0.008509940202392,8.5099402023919
1475537887.015,1.827199,2016-10-03 23:38:07.015,19:38:07.015,0.008404779208832,8.40477920883165
1475537888.345,1.831376,2016-10-03 23:38:08.345,19:38:08.345,0.008423992640294,8.42399264029439
1475537889.641,1.7581,2016-10-03 23:38:09.641,19:38:09.641,0.008086936522539,8.0869365225391
1475537890.94,1.618052,2016-10-03 23:38:10.940,19:38:10.940,0.00744274149034,7.44274149034039
1475537892.238,1.528436,2016-10-03 23:38:12.238,19:38:12.238,0.007030524379025,7.03052437902484
1475537893.536,1.529224,2016-10-03 23:38:13.536,19:38:13.536,0.007034149034039,7.03414903403864
1475537894.835,1.533053,2016-10-03 23:38:14.835,19:38:14.835,0.007051761729531,7.05176172953082
1475537896.39,1.542743,2016-10-03 23:38:16.390,19:38:16.390,0.007096333946642,7.09633394664213
1475537897.751,1.553845,2016-10-03 23:38:17.751,19:38:17.751,0.007147401103956,7.14740110395584
