PCB: 008
ASM: 000
LOT: 00000
FW:  1470628829
CH1:  AMPS   10A
CH2:  VOLT   60V
SMPL: 0064 0125Hz
UTC TIME SEC  ,CH1 AMPS DC  ,CH2 VOLT DC  
1475537896.390,-1.923242E-05, 1.542743E000
1475537897.751,-1.442432E-05, 1.553845E000
1475537899.080,-9.616215E-06, 1.551133E000
1475537900.378,-3.365675E-05, 1.567749E000
1475537901.681,-4.808107E-06, 1.777921E000
1475537902.980,-3.365675E-05, 1.983313E000
1475537904.278,-1.442432E-05, 2.013282E000
1475537905.835,-1.923242E-05, 2.009417E000
1475537907.198,-9.616215E-06, 1.922274E000
1475537908.528, 0.000000E000, 1.809063E000
1475537909.824, 0.000000E000, 1.761892E000
1475537911.119,-1.442432E-05, 1.761086E000
1475537912.418,-2.884864E-05, 1.793840E000
1475537913.715,-3.365675E-05, 1.878968E000
1475537915.013,-1.923242E-05, 1.951309E000
1475537916.570,-1.442432E-05, 1.950980E000
1475537917.936,-9.616215E-06, 1.954277E000
1475537919.265,-2.404053E-05, 1.992967E000
1475537920.564,-1.923242E-05, 2.030520E000
1475537921.862,-1.442432E-05, 2.034093E000
1475537923.160,-2.884864E-05, 2.034404E000
1475537924.458,-1.442432E-05, 1.979118E000
1475537926.015,-9.616215E-06, 1.868417E000
1475537927.375,-4.808107E-06, 1.826943E000
1475537928.705,-3.365675E-05, 1.830057E000
1475537930.000,-1.923242E-05, 1.784553E000
1475537931.296,-4.808107E-06, 1.644065E000
1475537932.595,-4.808107E-06, 1.527759E000
1475537933.898,-2.404053E-05, 1.528290E000
1475537935.195,-1.923242E-05, 1.530799E000
1475537936.745,-2.404053E-05, 1.539629E000
1475537938.074,-2.884864E-05, 1.552251E000
1475537939.372,-1.923242E-05, 1.550547E000
1475537940.670,-2.404053E-05, 1.547854E000
1475537941.968,-1.442432E-05, 1.725163E000
1475537943.266,-9.616215E-06, 1.933449E000
1475537944.563,-9.616215E-06, 2.014088E000
1475537946.191,-1.923242E-05, 2.012714E000
1475537946.910,-2.404053E-05, 1.998902E000
1475537948.238, 0.000000E000, 1.888897E000
1475537949.536,-1.442432E-05, 1.780010E000
1475537950.835,-9.616215E-06, 1.762772E000
1475537952.133,-1.923242E-05, 1.760280E000
1475537953.431,-1.923242E-05, 1.818864E000
1475537954.731,-1.923242E-05, 1.903864E000
1475537956.283,-3.365675E-05, 1.950449E000
1475537957.645,-1.923242E-05, 1.950650E000
1475537958.975,-4.808107E-06, 1.966899E000
1475537960.271,-9.616215E-06, 2.005094E000
1475537961.570,-1.923242E-05, 2.035668E000
1475537962.868,-1.923242E-05, 2.035650E000
1475537964.166,-3.365675E-05, 2.034221E000
1475537965.468,-1.923242E-05, 1.952720E000
1475537967.018,-2.404053E-05, 1.842330E000
1475537968.346,-1.923242E-05, 1.827877E000
1475537969.644,-3.365675E-05, 1.830222E000
1475537970.943,-3.365675E-05, 1.750186E000
1475537972.241,-2.404053E-05, 1.610725E000
1475537973.539,-4.808107E-06, 1.526458E000
1475537974.835,-4.808107E-06, 1.527410E000
1475537976.463,-1.923242E-05, 1.533309E000
1475537977.180,-1.442432E-05, 1.537376E000
1475537978.508,-1.923242E-05, 1.549301E000
1475537979.806,-3.365675E-05, 1.548605E000
1475537981.110,-3.365675E-05, 1.546719E000
1475537982.408,-3.365675E-05, 1.691346E000
1475537983.705,-2.404053E-05, 1.901409E000
1475537985.003,-1.923242E-05, 2.014162E000
1475537986.553,-2.404053E-05, 2.015462E000
1475537987.914,-9.616215E-06, 1.971808E000
1475537989.245,-2.884864E-05, 1.858744E000
1475537990.541,-2.404053E-05, 1.769165E000
1475537991.840,-1.923242E-05, 1.763065E000
1475537993.136,-1.923242E-05, 1.762277E000
1475537994.435,-9.616215E-06, 1.842221E000
1475537995.689,-3.365675E-05, 1.924509E000
1475537997.286,-2.404053E-05, 1.949038E000
1475537998.615,-9.616215E-06, 1.949240E000
1475537999.913,-2.404053E-05, 1.976003E000
1475538001.211,-1.923242E-05, 2.014015E000
1475538002.508,-1.442432E-05, 2.035943E000
1475538003.808,-2.884864E-05, 2.036053E000
1475538005.109,-3.365675E-05, 2.021251E000
1475538006.732,-2.884864E-05, 1.906025E000
1475538008.061,-2.404053E-05, 1.827694E000
1475538009.360,-3.365675E-05, 1.828683E000
1475538010.658,-2.884864E-05, 1.829342E000
1475538011.960,-1.923242E-05, 1.703895E000
1475538013.258,-1.442432E-05, 1.565092E000
1475538014.555,-2.404053E-05, 1.524864E000
1475538015.854,-1.442432E-05, 1.526018E000
1475538017.466,-1.442432E-05, 1.534115E000
1475538018.796,-1.442432E-05, 1.545381E000
1475538020.095,-2.404053E-05, 1.546261E000
1475538021.393,-2.404053E-05, 1.544081E000
1475538022.691,-9.616215E-06, 1.637617E000
1475538023.988,-1.923242E-05, 1.850061E000
